date,region,product,sales
2026-01-01,East,Laptop,1500
2026-01-02,East,Monitor,800
2026-01-03,East,Keyboard,250
2026-01-04,East,Mouse,150
2026-01-05,East,Headphones,300
2026-01-06,West,Laptop,1200
2026-01-07,West,Monitor,650
2026-01-08,West,Keyboard,200
2026-01-09,West,Mouse,100
2026-01-10,West,Headphones,250
2026-01-11,North,Laptop,900
2026-01-12,North,Monitor,500
2026-01-13,North,Keyboard,150
2026-01-14,North,Mouse,80
2026-01-15,North,Headphones,220
2026-01-16,South,Laptop,1000
2026-01-17,South,Monitor,550
2026-01-18,South,Keyboard,180
2026-01-19,South,Mouse,120
2026-01-20,South,Headphones,200
